q,precision,recall,f1,tp,fp,tn,fn
0.95,0.0905114145541261,0.10909723366470771,0.09893904929519003,5959,59878,1327220,48662
0.951,0.0918802758108902,0.10880430603613994,0.09962867656303698,5943,58739,1328359,48678
0.952,0.0926687788654025,0.10763259552186888,0.0995917399332554,5879,57562,1329536,48742
0.953,0.09403071573456968,0.10693689240402043,0.10006938555238609,5841,56277,1330821,48780
0.954,0.09460037511105261,0.10527086651654126,0.0996507889742901,5750,55032,1332066,48871
0.955,0.09632973437315771,0.10470331923619121,0.10034213527502413,5719,53650,1333448,48902
0.956,0.09805307903223025,0.10409915600227018,0.10098570286830655,5686,52303,1334795,48935
0.957,0.10039020929407591,0.10362314860584756,0.10198106323366456,5660,50720,1336378,48961
0.958,0.10262516816347307,0.10334852895406528,0.10298557837029199,5645,49361,1337737,48976
0.959,0.10444456847314469,0.10278098167371524,0.10360609751596353,5614,48137,1338961,49007
0.96,0.1063541706396125,0.10210358653265228,0.10418554255130348,5577,46861,1340237,49044
0.961,0.10834456226687758,0.1015726552058732,0.10484937823638357,5548,45659,1341439,49073
0.962,0.11037647011680791,0.10085864411123927,0.10540313014196609,5509,44402,1342696,49112
0.963,0.11274479520602954,0.10023617290053276,0.10612316101645636,5475,43086,1344012,49146
0.964,0.11552644964394711,0.09979678145768112,0.10708707823780758,5451,41733,1345365,49170
0.965,0.11880493632318449,0.09922923417733107,0.10813830530117118,5420,40201,1346897,49201
0.966,0.12211049598915377,0.0989363065487633,0.10930862898984586,5404,38851,1348247,49217
0.967,0.12531731060341414,0.09851522308269713,0.11031160311603114,5381,37558,1349540,49240
0.968,0.12875186092301782,0.0981673715237729,0.11139850623785928,5362,36284,1350814,49259
0.969,0.13142477353288695,0.09774628805770674,0.11211087196178277,5339,35285,1351813,49282
0.97,0.13482946621021935,0.09734351256842606,0.11306030449944714,5317,34118,1352980,49304
0.971,0.13861023075512716,0.09688581314878893,0.11405172413793103,5292,32887,1354211,49329
0.972,0.14345498518981495,0.09664780945057762,0.11548895208925837,5279,31520,1355578,49342
0.973,0.14888316394417236,0.09628164991486791,0.11693942897803078,5259,30064,1357034,49362
0.974,0.15312756237554176,0.09573241061130335,0.1178113981232187,5229,28919,1358179,49392
0.975,0.15575896262395117,0.09346222148990314,0.11682456863014325,5105,27670,1359428,49516
0.976,0.15747855039057498,0.09005693780780286,0.1145858811745111,4919,26317,1360781,49702
0.977,0.1610347238405966,0.08855568371139305,0.11427153960641641,4837,25200,1361898,49784
0.978,0.1677118171683389,0.08813460024532689,0.11554755475547554,4814,23890,1363208,49807
0.979,0.17376478270333018,0.08769520880247524,0.11656344677382068,4790,22776,1364322,49831
0.98,0.1796780986762936,0.08747551308104941,0.11766589092879218,4778,21814,1365284,49843
0.981,0.18668130833790886,0.08714596949891068,0.11882325041500769,4760,20738,1366360,49861
0.982,0.1953909465020576,0.08692627377748485,0.1203228545000697,4748,19552,1367546,49873
0.983,0.20357220649096058,0.08555317551857344,0.12047540476436011,4673,18282,1368816,49948
0.984,0.2119140625,0.08342945021145713,0.1197241379310345,4557,16947,1370151,50064
0.985,0.2211833382803997,0.08185496420790539,0.11948954366272467,4471,15743,1371355,50150
0.986,0.23011259492013617,0.080445249995423,0.11921428183840688,4394,14701,1372397,50227
0.987,0.23669164585067998,0.0780652130133099,0.11740734621950548,4264,13751,1373347,50357
0.988,0.25232813334124204,0.07788213324545505,0.11902630106323446,4254,12605,1374493,50367
0.989,0.2690413762230607,0.07702165833653724,0.1197586040023912,4207,11430,1375668,50414
0.99,0.2881025355252159,0.07572179198476776,0.11992403264856402,4136,10220,1376878,50485
